precinct,Month,ComplainCount,ArrestCount,Borough
34.0,7,1094,286,MANHATTAN
34.0,8,882,292,MANHATTAN
34.0,9,1148,330,MANHATTAN
34.0,10,967,350,MANHATTAN
34.0,11,851,261,MANHATTAN
34.0,12,810,258,MANHATTAN
40.0,1,156,893,BRONX
40.0,2,121,751,BRONX
40.0,3,169,826,BRONX
40.0,4,222,797,BRONX
40.0,5,313,897,BRONX
40.0,6,308,853,BRONX
40.0,7,321,818,BRONX
40.0,8,248,692,BRONX
40.0,9,353,676,BRONX
40.0,10,283,810,BRONX
40.0,11,211,637,BRONX
40.0,12,230,647,BRONX
41.0,1,130,490,BRONX
41.0,2,115,435,BRONX
41.0,3,119,518,BRONX
41.0,4,125,523,BRONX
41.0,5,166,529,BRONX
41.0,6,166,510,BRONX
41.0,7,208,457,BRONX
41.0,8,156,412,BRONX
41.0,9,196,400,BRONX
41.0,10,159,408,BRONX
41.0,11,160,341,BRONX
41.0,12,140,330,BRONX
42.0,1,163,460,BRONX
42.0,2,171,445,BRONX
42.0,3,188,494,BRONX
42.0,4,247,426,BRONX
42.0,5,220,404,BRONX
42.0,6,304,431,BRONX
42.0,7,317,455,BRONX
42.0,8,287,506,BRONX
42.0,9,320,416,BRONX
42.0,10,301,469,BRONX
42.0,11,205,424,BRONX
42.0,12,252,433,BRONX
43.0,1,224,396,BRONX
43.0,2,178,419,BRONX
43.0,3,196,449,BRONX
43.0,4,275,484,BRONX
43.0,5,437,461,BRONX
43.0,6,556,484,BRONX
43.0,7,515,461,BRONX
43.0,8,409,543,BRONX
43.0,9,482,454,BRONX
43.0,10,299,444,BRONX
43.0,11,244,331,BRONX
43.0,12,284,489,BRONX
44.0,1,468,625,BRONX
44.0,2,372,601,BRONX
44.0,3,485,676,BRONX
44.0,4,607,695,BRONX
44.0,5,1105,713,BRONX
44.0,6,974,557,BRONX
44.0,7,960,627,BRONX
44.0,8,987,593,BRONX
44.0,9,899,571,BRONX
44.0,10,594,574,BRONX
44.0,11,519,648,BRONX
44.0,12,661,552,BRONX
45.0,1,123,226,BRONX
45.0,2,86,202,BRONX
45.0,3,112,219,BRONX
45.0,4,128,196,BRONX
45.0,5,289,203,BRONX
45.0,6,262,210,BRONX
45.0,7,318,209,BRONX
45.0,8,167,215,BRONX
45.0,9,224,200,BRONX
45.0,10,149,192,BRONX
45.0,11,106,153,BRONX
45.0,12,136,195,BRONX
46.0,1,350,445,BRONX
46.0,2,307,380,BRONX
46.0,3,324,390,BRONX
46.0,4,331,373,BRONX
46.0,5,471,424,BRONX
46.0,6,535,386,BRONX
46.0,7,625,447,BRONX
46.0,8,507,441,BRONX
46.0,9,498,492,BRONX
46.0,10,425,447,BRONX
46.0,11,388,353,BRONX
46.0,12,457,353,BRONX
47.0,1,164,425,BRONX
47.0,2,179,402,BRONX
47.0,3,192,417,BRONX
47.0,4,229,393,BRONX
47.0,5,395,382,BRONX
47.0,6,434,400,BRONX
47.0,7,495,372,BRONX
47.0,8,539,457,BRONX
47.0,9,414,367,BRONX
47.0,10,282,448,BRONX
47.0,11,200,349,BRONX
47.0,12,218,382,BRONX
48.0,1,212,442,BRONX
48.0,2,197,436,BRONX
48.0,3,247,442,BRONX
48.0,4,272,445,BRONX
48.0,5,321,419,BRONX
48.0,6,323,370,BRONX
48.0,7,420,408,BRONX
48.0,8,375,548,BRONX
48.0,9,309,430,BRONX
48.0,10,340,487,BRONX
48.0,11,259,366,BRONX
48.0,12,306,315,BRONX
49.0,1,230,275,BRONX
49.0,2,164,264,BRONX
49.0,3,238,258,BRONX
49.0,4,294,251,BRONX
49.0,5,297,277,BRONX
49.0,6,294,313,BRONX
49.0,7,403,283,BRONX
49.0,8,269,270,BRONX
49.0,9,286,256,BRONX
49.0,10,214,257,BRONX
49.0,11,207,292,BRONX
49.0,12,222,265,BRONX
50.0,1,237,133,BRONX
50.0,2,159,180,BRONX
50.0,3,196,155,BRONX
50.0,4,248,145,BRONX
50.0,5,238,166,BRONX
50.0,6,293,145,BRONX
50.0,7,240,124,BRONX
50.0,8,185,154,BRONX
50.0,9,216,139,BRONX
50.0,10,212,187,BRONX
50.0,11,214,127,BRONX
50.0,12,286,149,BRONX
52.0,1,474,473,BRONX
52.0,2,415,398,BRONX
52.0,3,438,424,BRONX
52.0,4,540,475,BRONX
52.0,5,819,515,BRONX
52.0,6,651,448,BRONX
52.0,7,730,435,BRONX
52.0,8,587,432,BRONX
52.0,9,562,403,BRONX
52.0,10,569,539,BRONX
52.0,11,480,463,BRONX
52.0,12,535,470,BRONX
60.0,1,66,285,BROOKLYN
60.0,2,53,325,BROOKLYN
60.0,3,89,342,BROOKLYN
60.0,4,109,369,BROOKLYN
60.0,5,171,273,BROOKLYN
60.0,6,142,320,BROOKLYN
60.0,7,171,274,BROOKLYN
60.0,8,183,339,BROOKLYN
60.0,9,107,275,BROOKLYN
60.0,10,91,279,BROOKLYN
60.0,11,92,266,BROOKLYN
60.0,12,93,261,BROOKLYN
61.0,1,71,204,BROOKLYN
61.0,2,60,183,BROOKLYN
61.0,3,90,188,BROOKLYN
61.0,4,76,205,BROOKLYN
61.0,5,147,185,BROOKLYN
61.0,6,124,167,BROOKLYN
61.0,7,100,144,BROOKLYN
61.0,8,71,176,BROOKLYN
61.0,9,147,162,BROOKLYN
61.0,10,109,193,BROOKLYN
61.0,11,81,189,BROOKLYN
61.0,12,105,196,BROOKLYN
62.0,1,111,163,BROOKLYN
62.0,2,104,161,BROOKLYN
62.0,3,136,193,BROOKLYN
62.0,4,103,200,BROOKLYN
62.0,5,201,205,BROOKLYN
62.0,6,104,148,BROOKLYN
62.0,7,123,178,BROOKLYN
62.0,8,87,169,BROOKLYN
62.0,9,104,150,BROOKLYN
62.0,10,150,199,BROOKLYN
62.0,11,118,175,BROOKLYN
62.0,12,126,145,BROOKLYN
63.0,1,43,142,BROOKLYN
63.0,2,34,179,BROOKLYN
63.0,3,100,161,BROOKLYN
63.0,4,104,136,BROOKLYN
63.0,5,189,174,BROOKLYN
63.0,6,250,141,BROOKLYN
63.0,7,264,129,BROOKLYN
63.0,8,233,143,BROOKLYN
63.0,9,240,180,BROOKLYN
63.0,10,105,160,BROOKLYN
