Location Type,precinct,Month,ComplainCount
Club/Bar/Restaurant,26.0,8,3
Club/Bar/Restaurant,26.0,9,4
Club/Bar/Restaurant,26.0,10,4
Club/Bar/Restaurant,26.0,11,1
Club/Bar/Restaurant,26.0,12,2
Club/Bar/Restaurant,28.0,1,8
Club/Bar/Restaurant,28.0,2,9
Club/Bar/Restaurant,28.0,3,12
Club/Bar/Restaurant,28.0,4,5
Club/Bar/Restaurant,28.0,5,8
Club/Bar/Restaurant,28.0,6,15
Club/Bar/Restaurant,28.0,7,8
Club/Bar/Restaurant,28.0,8,9
Club/Bar/Restaurant,28.0,9,18
Club/Bar/Restaurant,28.0,10,10
Club/Bar/Restaurant,28.0,11,9
Club/Bar/Restaurant,28.0,12,9
Club/Bar/Restaurant,30.0,1,11
Club/Bar/Restaurant,30.0,2,13
Club/Bar/Restaurant,30.0,3,21
Club/Bar/Restaurant,30.0,4,19
Club/Bar/Restaurant,30.0,5,23
Club/Bar/Restaurant,30.0,6,14
Club/Bar/Restaurant,30.0,7,31
Club/Bar/Restaurant,30.0,8,15
Club/Bar/Restaurant,30.0,9,13
Club/Bar/Restaurant,30.0,10,16
Club/Bar/Restaurant,30.0,11,16
Club/Bar/Restaurant,30.0,12,21
Club/Bar/Restaurant,32.0,1,12
Club/Bar/Restaurant,32.0,2,2
Club/Bar/Restaurant,32.0,3,14
Club/Bar/Restaurant,32.0,4,11
Club/Bar/Restaurant,32.0,5,24
Club/Bar/Restaurant,32.0,6,13
Club/Bar/Restaurant,32.0,7,6
Club/Bar/Restaurant,32.0,8,23
Club/Bar/Restaurant,32.0,9,24
Club/Bar/Restaurant,32.0,10,12
Club/Bar/Restaurant,32.0,11,12
Club/Bar/Restaurant,32.0,12,4
Club/Bar/Restaurant,33.0,1,19
Club/Bar/Restaurant,33.0,2,8
Club/Bar/Restaurant,33.0,3,7
Club/Bar/Restaurant,33.0,4,7
Club/Bar/Restaurant,33.0,5,21
Club/Bar/Restaurant,33.0,6,18
Club/Bar/Restaurant,33.0,7,37
Club/Bar/Restaurant,33.0,8,9
Club/Bar/Restaurant,33.0,9,22
Club/Bar/Restaurant,33.0,10,42
Club/Bar/Restaurant,33.0,11,28
Club/Bar/Restaurant,33.0,12,28
Club/Bar/Restaurant,34.0,1,44
Club/Bar/Restaurant,34.0,2,30
Club/Bar/Restaurant,34.0,3,42
Club/Bar/Restaurant,34.0,4,43
Club/Bar/Restaurant,34.0,5,56
Club/Bar/Restaurant,34.0,6,99
Club/Bar/Restaurant,34.0,7,35
Club/Bar/Restaurant,34.0,8,47
Club/Bar/Restaurant,34.0,9,85
Club/Bar/Restaurant,34.0,10,137
Club/Bar/Restaurant,34.0,11,119
Club/Bar/Restaurant,34.0,12,84
Club/Bar/Restaurant,40.0,1,3
Club/Bar/Restaurant,40.0,3,2
Club/Bar/Restaurant,40.0,4,2
Club/Bar/Restaurant,40.0,5,11
Club/Bar/Restaurant,40.0,6,1
Club/Bar/Restaurant,40.0,7,1
Club/Bar/Restaurant,40.0,8,1
Club/Bar/Restaurant,40.0,9,2
Club/Bar/Restaurant,40.0,10,6
Club/Bar/Restaurant,40.0,11,2
Club/Bar/Restaurant,40.0,12,4
Club/Bar/Restaurant,41.0,1,1
Club/Bar/Restaurant,41.0,2,2
Club/Bar/Restaurant,41.0,4,4
Club/Bar/Restaurant,41.0,5,1
Club/Bar/Restaurant,41.0,6,5
Club/Bar/Restaurant,41.0,7,3
Club/Bar/Restaurant,41.0,8,3
Club/Bar/Restaurant,41.0,10,1
Club/Bar/Restaurant,41.0,11,5
Club/Bar/Restaurant,41.0,12,3
Club/Bar/Restaurant,42.0,1,2
Club/Bar/Restaurant,42.0,2,1
Club/Bar/Restaurant,42.0,6,1
Club/Bar/Restaurant,42.0,8,1
Club/Bar/Restaurant,42.0,9,4
Club/Bar/Restaurant,42.0,10,4
Club/Bar/Restaurant,42.0,11,2
Club/Bar/Restaurant,42.0,12,1
Club/Bar/Restaurant,43.0,1,2
Club/Bar/Restaurant,43.0,2,4
Club/Bar/Restaurant,43.0,3,4
Club/Bar/Restaurant,43.0,4,10
Club/Bar/Restaurant,43.0,5,15
Club/Bar/Restaurant,43.0,6,5
Club/Bar/Restaurant,43.0,7,2
Club/Bar/Restaurant,43.0,8,7
Club/Bar/Restaurant,43.0,9,4
Club/Bar/Restaurant,43.0,10,22
Club/Bar/Restaurant,43.0,11,10
Club/Bar/Restaurant,43.0,12,23
Club/Bar/Restaurant,44.0,1,6
Club/Bar/Restaurant,44.0,2,1
Club/Bar/Restaurant,44.0,4,2
Club/Bar/Restaurant,44.0,5,5
Club/Bar/Restaurant,44.0,6,2
Club/Bar/Restaurant,44.0,7,6
Club/Bar/Restaurant,44.0,8,27
Club/Bar/Restaurant,44.0,9,15
Club/Bar/Restaurant,44.0,10,5
Club/Bar/Restaurant,44.0,11,3
Club/Bar/Restaurant,44.0,12,3
Club/Bar/Restaurant,45.0,1,15
Club/Bar/Restaurant,45.0,2,2
Club/Bar/Restaurant,45.0,3,5
Club/Bar/Restaurant,45.0,4,7
Club/Bar/Restaurant,45.0,5,73
Club/Bar/Restaurant,45.0,6,38
Club/Bar/Restaurant,45.0,7,19
Club/Bar/Restaurant,45.0,8,12
Club/Bar/Restaurant,45.0,9,21
Club/Bar/Restaurant,45.0,10,18
Club/Bar/Restaurant,45.0,11,8
Club/Bar/Restaurant,45.0,12,10
Club/Bar/Restaurant,46.0,1,12
Club/Bar/Restaurant,46.0,2,2
Club/Bar/Restaurant,46.0,3,5
Club/Bar/Restaurant,46.0,4,4
Club/Bar/Restaurant,46.0,5,12
Club/Bar/Restaurant,46.0,6,22
Club/Bar/Restaurant,46.0,7,28
Club/Bar/Restaurant,46.0,8,9
Club/Bar/Restaurant,46.0,9,14
Club/Bar/Restaurant,46.0,10,9
Club/Bar/Restaurant,46.0,11,6
Club/Bar/Restaurant,46.0,12,7
Club/Bar/Restaurant,47.0,1,4
Club/Bar/Restaurant,47.0,2,9
Club/Bar/Restaurant,47.0,3,6
Club/Bar/Restaurant,47.0,4,6
Club/Bar/Restaurant,47.0,5,21
Club/Bar/Restaurant,47.0,6,14
Club/Bar/Restaurant,47.0,7,8
Club/Bar/Restaurant,47.0,8,13
Club/Bar/Restaurant,47.0,9,22
Club/Bar/Restaurant,47.0,10,9
Club/Bar/Restaurant,47.0,11,7
Club/Bar/Restaurant,47.0,12,9
Club/Bar/Restaurant,48.0,1,4
Club/Bar/Restaurant,48.0,2,12
Club/Bar/Restaurant,48.0,3,11
Club/Bar/Restaurant,48.0,4,8
Club/Bar/Restaurant,48.0,5,10
Club/Bar/Restaurant,48.0,6,7
Club/Bar/Restaurant,48.0,7,15
Club/Bar/Restaurant,48.0,8,7
Club/Bar/Restaurant,48.0,9,2
Club/Bar/Restaurant,48.0,10,21
Club/Bar/Restaurant,48.0,11,15
Club/Bar/Restaurant,48.0,12,5
Club/Bar/Restaurant,49.0,1,1
Club/Bar/Restaurant,49.0,2,2
Club/Bar/Restaurant,49.0,3,1
Club/Bar/Restaurant,49.0,4,1
Club/Bar/Restaurant,49.0,5,1
Club/Bar/Restaurant,49.0,9,2
Club/Bar/Restaurant,49.0,10,5
Club/Bar/Restaurant,49.0,11,2
Club/Bar/Restaurant,49.0,12,1
Club/Bar/Restaurant,50.0,1,9
Club/Bar/Restaurant,50.0,2,8
Club/Bar/Restaurant,50.0,3,2
Club/Bar/Restaurant,50.0,4,2
Club/Bar/Restaurant,50.0,5,8
Club/Bar/Restaurant,50.0,6,7
Club/Bar/Restaurant,50.0,7,4
Club/Bar/Restaurant,50.0,8,5
Club/Bar/Restaurant,50.0,9,23
Club/Bar/Restaurant,50.0,10,28
Club/Bar/Restaurant,50.0,11,9
Club/Bar/Restaurant,50.0,12,11
Club/Bar/Restaurant,52.0,1,2
Club/Bar/Restaurant,52.0,2,1
Club/Bar/Restaurant,52.0,4,1
Club/Bar/Restaurant,52.0,5,6
Club/Bar/Restaurant,52.0,6,8
Club/Bar/Restaurant,52.0,7,3
Club/Bar/Restaurant,52.0,8,2
Club/Bar/Restaurant,52.0,10,5
