Location Type,Incident Zip,City,Borough,Latitude,Longitude,num_calls,index,precinct
Club/Bar/Restaurant,10040.0,NEW YORK,MANHATTAN,40.85756813849578,-73.93217182145753,18,928,34.0
Club/Bar/Restaurant,10033.0,NEW YORK,MANHATTAN,40.85203731229339,-73.93174731265835,17,967,34.0
Club/Bar/Restaurant,10040.0,NEW YORK,MANHATTAN,40.85903026260549,-73.9308219066893,19,997,34.0
Club/Bar/Restaurant,10034.0,NEW YORK,MANHATTAN,40.865686821871535,-73.9274345469882,13,1022,34.0
Club/Bar/Restaurant,10040.0,NEW YORK,MANHATTAN,40.863572501262425,-73.92601241651245,13,1047,34.0
Club/Bar/Restaurant,10034.0,NEW YORK,MANHATTAN,40.86579718240471,-73.91999745659871,15,1057,34.0
Club/Bar/Restaurant,10040.0,NEW YORK,MANHATTAN,40.861118753564135,-73.92603322228999,32,1087,34.0
Club/Bar/Restaurant,10040.0,NEW YORK,MANHATTAN,40.86452529877404,-73.92661873955323,31,1102,34.0
Club/Bar/Restaurant,10034.0,NEW YORK,MANHATTAN,40.866314951203755,-73.91859764559992,17,1106,34.0
Club/Bar/Restaurant,10034.0,NEW YORK,MANHATTAN,40.86606037701009,-73.92787522535579,11,1110,34.0
Club/Bar/Restaurant,10034.0,NEW YORK,MANHATTAN,40.87289918174896,-73.91818099611028,22,1128,34.0
Club/Bar/Restaurant,10033.0,NEW YORK,MANHATTAN,40.85209218922723,-73.93171833875036,12,1155,34.0
Club/Bar/Restaurant,10040.0,NEW YORK,MANHATTAN,40.86052420368971,-73.92768962592345,14,1172,34.0
Club/Bar/Restaurant,10033.0,NEW YORK,MANHATTAN,40.85032261253479,-73.9330105687162,106,1179,34.0
Club/Bar/Restaurant,10034.0,NEW YORK,MANHATTAN,40.866376258136135,-73.92826173870098,94,1185,34.0
Club/Bar/Restaurant,10040.0,NEW YORK,MANHATTAN,40.864223267086025,-73.92643830487256,12,1192,34.0
Club/Bar/Restaurant,10040.0,NEW YORK,MANHATTAN,40.85500852495432,-73.9295825784972,35,1209,34.0
Club/Bar/Restaurant,10034.0,NEW YORK,MANHATTAN,40.86586537236765,-73.92766574084868,46,1215,34.0
Club/Bar/Restaurant,10033.0,NEW YORK,MANHATTAN,40.850728062663016,-73.93650911771923,76,1233,34.0
Club/Bar/Restaurant,10040.0,NEW YORK,MANHATTAN,40.854992204324,-73.92982479121241,11,1234,34.0
Club/Bar/Restaurant,10040.0,NEW YORK,MANHATTAN,40.856879430796546,-73.93253401979713,18,1243,34.0
Club/Bar/Restaurant,10034.0,NEW YORK,MANHATTAN,40.86605469784964,-73.91929936321743,10,1247,34.0
Club/Bar/Restaurant,10034.0,NEW YORK,MANHATTAN,40.86597800798226,-73.9195308453907,83,1259,34.0
Club/Bar/Restaurant,10040.0,NEW YORK,MANHATTAN,40.85660476158064,-73.93219449360404,10,1273,34.0
Club/Bar/Restaurant,10034.0,NEW YORK,MANHATTAN,40.86643394166972,-73.92833398605853,77,1305,34.0
Club/Bar/Restaurant,10040.0,NEW YORK,MANHATTAN,40.85932419390543,-73.93123733660876,223,1356,34.0
Club/Bar/Restaurant,10034.0,NEW YORK,MANHATTAN,40.86596698951721,-73.92776686302547,26,1368,34.0
Club/Bar/Restaurant,10040.0,NEW YORK,MANHATTAN,40.8646639551831,-73.92888904710935,10,1390,34.0
Club/Bar/Restaurant,10034.0,NEW YORK,MANHATTAN,40.867015198650364,-73.92310894630783,55,1395,34.0
Club/Bar/Restaurant,10034.0,NEW YORK,MANHATTAN,40.86582690581577,-73.92760070465683,116,1400,34.0
Club/Bar/Restaurant,10034.0,NEW YORK,MANHATTAN,40.868219518729006,-73.91824098763226,30,1429,34.0
Club/Bar/Restaurant,10040.0,NEW YORK,MANHATTAN,40.85783978717273,-73.93204140398764,33,1435,34.0
Club/Bar/Restaurant,10034.0,NEW YORK,MANHATTAN,40.86676099489817,-73.92061093162097,44,1510,34.0
Club/Bar/Restaurant,10034.0,NEW YORK,MANHATTAN,40.869090036512056,-73.93158518475227,14,1516,34.0
Club/Bar/Restaurant,10033.0,NEW YORK,MANHATTAN,40.84814867265138,-73.9327814310058,10,1559,34.0
Club/Bar/Restaurant,10034.0,NEW YORK,MANHATTAN,40.86593140360535,-73.9196104417344,10,1572,34.0
Club/Bar/Restaurant,10034.0,NEW YORK,MANHATTAN,40.863805379005,-73.92535778152539,25,1584,34.0
Club/Bar/Restaurant,10034.0,NEW YORK,MANHATTAN,40.8692494935932,-73.91542314333383,18,1586,34.0
Club/Bar/Restaurant,10033.0,NEW YORK,MANHATTAN,40.850506421489904,-73.93286218445012,27,1591,34.0
Club/Bar/Restaurant,10040.0,NEW YORK,MANHATTAN,40.85490700851485,-73.92964413847032,52,1662,34.0
Club/Bar/Restaurant,10034.0,NEW YORK,MANHATTAN,40.86395062756963,-73.9250177761278,13,1713,34.0
Club/Bar/Restaurant,10033.0,NEW YORK,MANHATTAN,40.85169711435645,-73.9319934598578,20,1735,34.0
Club/Bar/Restaurant,10034.0,NEW YORK,MANHATTAN,40.861310449418994,-73.92123202230121,26,1740,34.0
Club/Bar/Restaurant,10040.0,NEW YORK,MANHATTAN,40.865387476915984,-73.92716010153063,21,1742,34.0
Club/Bar/Restaurant,10033.0,NEW YORK,MANHATTAN,40.85013330769284,-73.9331481139055,18,1744,34.0
Club/Bar/Restaurant,10034.0,NEW YORK,MANHATTAN,40.86701362857385,-73.92078779005854,129,1754,34.0
Club/Bar/Restaurant,10033.0,NEW YORK,MANHATTAN,40.85057515040062,-73.9330536897846,14,1767,34.0
Club/Bar/Restaurant,10034.0,NEW YORK,MANHATTAN,40.86260529099492,-73.92027605701978,14,1815,34.0
Club/Bar/Restaurant,10034.0,NEW YORK,MANHATTAN,40.86722505686621,-73.92091408149761,22,1817,34.0
Club/Bar/Restaurant,10034.0,NEW YORK,MANHATTAN,40.861935926070025,-73.9207721466384,28,1851,34.0
Club/Bar/Restaurant,10034.0,NEW YORK,MANHATTAN,40.8620319333462,-73.92068888173759,22,1882,34.0
Club/Bar/Restaurant,10034.0,NEW YORK,MANHATTAN,40.86230783744672,-73.92280347697915,48,1917,34.0
Club/Bar/Restaurant,10034.0,NEW YORK,MANHATTAN,40.86564012792797,-73.92738036639876,12,1919,34.0
